id;unit_name;short_name;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;Automotive;complexity Berkshire Fish;lavender Fantastic Salad;ivory Steel;Sol;false;true
2;Global strategize;system deg;hacking gold programming;overriding;purple;false;true
3;schemas Digitized;program bypassing;Gloves International;24/7 revolutionize users;Dynamic Dynamic applications;false;false
4;Krone Buckinghamshire;Ergonomic stable;Minnesota system;microchip;analyzer;false;true
5;innovative;eyeballs West;Chicken Pizza Movies;Cyprus Oklahoma Operative;3rd hack Tools;false;false
6;Health;override Pines Cambridgeshire;Iowa;back-end;Crest Forward compress;false;false
7;architecture group evolve;Administrator Reverse-engineered;Technician Corporate Pizza;Jewelery Borders Account;Electronics Savings Licensed;true;false
8;strategy;Home seize Intuitive;Executive connect user;Account Sleek index;SQL;true;true
9;Account mint;well-modulated Group;Soft;array customer matrices;grid-enabled invoice;true;false
10;optimizing up;Iowa;driver asymmetric XML;loyalty;cross-platform;false;true
