id;massage;notification_type;title;is_action_required;is_read;free_field_1;free_field_2;last_modified;last_modified_by
1;Rustic Throughway;APPROVAL;hack systematic Switzerland;false;false;transmitting copying Wooden;Directives invoice payment;web-readiness calculate partnerships;Specialist
2;Table compressing Gloves;ALERT;generate Salad;true;true;Health parallelism;Health technologies;Table;Usability Jewelery
3;Spur Ameliorated;TRANSFER;Games;true;false;system;mobile Loan;Table Myanmar architectures;Licensed infrastructures Litas
4;Account Borders Barbados;ALERT;cross-platform SMTP bandwidth-monitored;true;true;Mexican bottom-line;navigate override;GB Avon;payment
5;applications multi-byte;APPROVAL;Incredible Ball;true;false;models Direct action-items;Configurable Tuna navigating;Product;Rapid
6;human-resource Loan Account;REQUEST;Dominican;true;false;Algerian Shirt;Plastic driver connecting;Account;Cambridgeshire
7;Agent Mobility;REQUEST;invoice;false;true;wireless Legacy THX;bandwidth Germany lime;Granite Ergonomic;Borders Key Account
8;Minnesota;ALERT;Computer;true;false;Arizona Computer;withdrawal;deposit Dalasi;sticky grey
9;withdrawal;TRANSFER;United algorithm;false;true;AI Program orange;Kids Ball International;Accounts Plastic Applications;initiatives French B2C
10;Shirt Somali;ALERT;Slovenia Enhanced;true;false;Japan;Oregon;Cheese Maine;deposit Balanced Persistent
