id;wh_name;address;pincode;city;state;country;g_st_details;manager_name;manager_email;manager_contact;contact;is_deleted;is_active;ware_house_id;last_modified;last_modified_by
1;Buckinghamshire back-end Som;moratorium Vatu;90093;Klockofurt;synergistic TCP Tunisia;Cambodia;Mandatory streamline;Concrete Manager Fish;wireless optical;Fresh;orchestrate Cambridgeshire;true;true;39053;invoice;bus
2;Cyprus Intranet Cambridgeshire;Director incubate;65986;East Thurman;Agent;Gibraltar;Steel;Dynamic;integrated Refined Algerian;deploy;Creek Upgradable maximize;false;true;72021;Swedish Applications;indexing
3;neural;programming Avon systemic;5081;Franeckimouth;Radial schemas Supervisor;Trinidad and Tobago;Tactics Rubber;Coordinator;Grocery;Road;transmitting;false;false;73853;collaborative;toolset virtual
4;Fish;interface hacking;1352;Weymouth Town;quantifying;Bulgaria;Guiana;Convertible Fantastic Soft;Industrial Keyboard Lek;Bedfordshire HDD;Solomon;false;true;26868;Western niches Kids;content Savings Security
5;withdrawal FTP;Idaho generate;47659;Wavaport;maroon deposit;Marshall Islands;Cambridgeshire ivory;SQL;Plastic connecting Sterling;SAS RAM Steel;withdrawal Louisiana;true;true;19588;Cheese Administrator;viral
6;full-range Centers payment;pink;85704;Brekkeview;Pre-emptive deposit;Djibouti;Hat Dollar;Planner;Ball redundant;hack ADP connect;black;true;true;61374;Nepalese program Intelligent;Functionality Synergistic Armenia
7;invoice Dakota Towels;impactful Specialist;4910;Adellaberg;Shoes Gloves Practical;Cyprus;Shirt Central;Unions;Rubber Benin;olive;Concrete salmon;false;false;93161;Mauritania Soap;Fantastic Outdoors
8;Pass Lead;Sandwich adapter Michigan;75376;Centennial;Fresh Ergonomic;Papua New Guinea;Refined;Checking;pink orange;Drive indigo;Som Chips capacitor;false;false;77518;calculating;SMTP Pants Upgradable
9;transparent Silver hard;Handcrafted California Table;60061;Summerville;Rustic;Slovenia;SCSI Pants Guatemala;Computers Centralized ivory;Account;Account;Plastic;false;false;96134;EXE New methodology;Salad
10;toolset;Bike Paradigm;13426;Mentor;deposit;Cyprus;Shirt Grocery Product;invoice;vortals up XSS;Regional indigo;Grocery pink Customer;false;false;38043;interactive Cliffs;Generic
