id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-10T02:42:07;13957;back Supervisor;(Malvinas) Concrete internet;indexing;data-warehouse Associate bus;Senior Benin;true;false
2;2022-03-09T19:51:08;45937;redundant Sausages bluetooth;Intelligent;Producer;bottom-line SSL;Lock;true;true
3;2022-03-10T02:03:06;86199;Functionality orchid;Kids connecting;modular Steel;Market Rustic Vermont;Global;true;false
4;2022-03-09T13:33:19;75771;Tasty Frozen;invoice Reverse-engineered;wireless haptic Pizza;system Cordoba;Functionality;true;false
5;2022-03-09T18:31:42;98800;Buckinghamshire;Handcrafted Refined;Facilitator;Gardens Trail;Investment open;true;false
6;2022-03-10T04:26:30;78400;Yemen;copying Account;Uganda;Monetary e-business instruction;Gourde;true;false
7;2022-03-10T02:23:22;35890;Berkshire visualize;ivory;background;Gibraltar Vietnam;Integration violet;false;true
8;2022-03-10T01:27:56;96559;cyan engage programming;Customer SMS;orange;Tanzania Fresh Dollar;copying;true;false
9;2022-03-09T13:56:03;49985;Strategist ubiquitous;migration Iowa Avon;Iowa online;transitional;deliverables SAS;false;true
10;2022-03-09T18:11:01;59838;invoice Towels;RAM Associate matrix;capacitor;tangible;auxiliary Unbranded up;true;false
