id;short_name;chemical_formula;hsn_no;material_image;material_image_content_type;is_deleted;is_active;product_name;alert_units;cas_number;catlog_number;molecular_wt;molecular_formula;chemical_name;structure_img;description;qr_code;bar_code;gst_percentage;product_type;last_modified;last_modified_by;free_field_1;free_field_2
1;Steel;Assistant;cross-platform Principal;../fake-data/blob/hipster.png;image/png;false;false;Chilean reboot Dynamic;Track actuating deposit;Soap withdrawal;Metical Incredible;54662;Internal intermediate;Bedfordshire;Malagasy intranet;neutral;Bike;Computer CFP orange;9548;PRODUCT;mobile Vermont auxiliary;COM Implementation Awesome;homogeneous Crossroad;Chips De-engineered Tunnel
2;Intelligent;pixel methodical quantifying;rich South Forward;../fake-data/blob/hipster.png;image/png;true;false;Computer Arizona mobile;AGP lavender;navigate brand up;systems Gorgeous;6953;Ergonomic relationships back-end;solution Zimbabwe Games;Account transmit Incredible;programming Algeria Rustic;Taka;wireless Practical Solutions;54007;OTHER;online Home Vista;Sausages Tuna;system Practical;executive
3;Assistant Berkshire program;Accounts Borders;Concrete capability synthesizing;../fake-data/blob/hipster.png;image/png;false;false;Sausages;Computers Man;Electronics;Vista;29881;Account portals Berkshire;Wooden Concrete;Rwanda Account;grid-enabled Tasty Keyboard;Producer;back-end application;41129;OTHER;Concrete Venezuela JBOD;mint;withdrawal Facilitator Nebraska;circuit Regional JBOD
4;Directives;Guinea-Bissau SCSI;Serbia;../fake-data/blob/hipster.png;image/png;true;false;Programmable Awesome;withdrawal;Rustic Product Dakota;Lebanon Analyst;92229;Kansas Kids;Intranet;aggregate indexing;Computer PCI;Visionary Baby teal;Engineer;10258;RAWMATERIAL;Bedfordshire IB payment;maximize Chicken;Concrete blue;modular
5;neural back-end Infrastructure;copying Dakota Sterling;benchmark 1080p quantifying;../fake-data/blob/hipster.png;image/png;false;false;US users;quantifying;generation regional;Gloves radical;16726;invoice Marketing sticky;Creative navigate;copy;orange technologies;Music Shoes Hampshire;Berkshire Games global;84678;BOTH;niches AI Loan;port niches;Global Viaduct;HTTP Utah Account
6;Account;Soap;Uganda primary Ergonomic;../fake-data/blob/hipster.png;image/png;true;false;Auto;Ouguiya azure;Inlet SCSI Robust;Yen Realigned;91869;scalable Sports collaboration;Carolina Planner;Distributed;black Islands;Card Optimization;payment Cotton;55120;PRODUCT;Rubber Optimized UIC-Franc;THX virtual;Nevada Fish Palladium;projection Games
7;Lead;Automotive;Bacon Awesome Intelligent;../fake-data/blob/hipster.png;image/png;true;true;Cotton convergence;schemas Views;Silver Highway;pixel Loan RSS;76018;Incredible Lake Home;invoice;Barbuda;Tuna;firewall;IB Card Fantastic;33800;RAWMATERIAL;cross-platform Mobility;Granite;Fantastic;Account indexing
8;synthesizing;Florida Islands;virtual;../fake-data/blob/hipster.png;image/png;false;true;Cotton;Lilangeni;optical;Mobility invoice;21004;Wells high-level;e-tailers Buckinghamshire dot-com;card;high-level;connecting;indexing AGP;2968;BOTH;Industrial;connect bottom-line SSL;Nebraska holistic;Garden synthesize
9;Optimization;Accounts Account;harness;../fake-data/blob/hipster.png;image/png;true;true;orchestrate blue;Azerbaijanian;Gibraltar Grocery lavender;initiative Corporate;65835;interface withdrawal;Shores Metal Shoes;payment Taka hardware;AGP Licensed;Louisiana;Granite Music scalable;19193;PRODUCT;deposit Credit;Paradigm;Vision-oriented Cambridgeshire;Tunisia Berkshire gold
10;XML;Skyway Multi-layered;deposit application reciprocal;../fake-data/blob/hipster.png;image/png;true;false;program Arizona Chicken;Applications;multi-tasking;bluetooth;59179;Forward alarm XML;collaboration installation payment;Shoes District;Card Swaziland Arkansas;Cape;Electronics;88570;BOTH;navigating structure;Swedish Robust;Direct;Connecticut
