id;inward_outward_date;inward_qty;outward_qty;total_quanity;price_per_unit;lot_no;expiry_date;inventory_type_id;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-10T06:14:14;1080p niches conglomeration;white Maine District;Mountains;67008;quantify;2022-03-09T23:40:42;quantifying Creative transform;Somalia Netherlands homogeneous;teal Shoes calculate;Handcrafted Pound;fuchsia payment THX;true;false
2;2022-03-10T06:09:56;Alaska redundant;Analyst;value-added hack;48607;Malta 1080p;2022-03-10T01:29:10;Books Buckinghamshire;dedicated redundant Borders;Turkish;Sweden Nebraska;Pizza frictionless Bedfordshire;true;false
3;2022-03-09T21:32:55;Sleek encompassing;solid;Handmade Drive Operations;26791;systems Wyoming;2022-03-09T14:57:56;Arab withdrawal;Supervisor mobile Manager;UIC-Franc;Rhode Industrial Regional;customized Versatile;true;false
4;2022-03-09T10:58:22;Mouse Investor invoice;Berkshire Missouri Chief;Pants EXE Leone;6726;Response parse overriding;2022-03-10T02:20:10;Small;Fish cohesive;Analyst;virtual Avon web-enabled;Berkshire indexing;false;true
5;2022-03-09T16:52:09;Extended;Krona empower Tuna;Tasty Inlet;64142;Internal Granite Chile;2022-03-10T07:54:24;Chips Strategist transition;withdrawal;engage programming recontextualize;Kroon;transform Unbranded Practical;true;false
6;2022-03-09T22:40:04;Producer deposit;Oklahoma mission-critical Cedi;Bedfordshire;4592;Generic;2022-03-09T09:34:21;Lead;Peso Oklahoma;regional;Ergonomic India Human;well-modulated Wooden Manat;false;true
7;2022-03-09T10:57:03;Rubber;compress orange;Concrete program Consultant;16287;Lane;2022-03-10T01:19:53;HDD North;Iranian Regional;dynamic;Vermont International;web-readiness Salad Berkshire;false;true
8;2022-03-09T19:22:41;bypass Industrial;Account Bedfordshire Berkshire;Account Frozen;78005;user-facing Gorgeous;2022-03-09T21:15:17;24/365 administration;system;Shore Administrator Concrete;Seamless;scalable Chicken;true;true
9;2022-03-09T14:50:56;User-centric digital;Buckinghamshire Sleek;composite Oregon;14728;client-driven;2022-03-09T11:58:23;blue Licensed index;Arkansas Up-sized firewall;Avon methodologies Assurance;Lakes;Wooden;true;true
10;2022-03-09T10:15:47;service-desk Fantastic;multi-tasking Knoll;generate;12480;redefine Squares;2022-03-09T20:41:11;Infrastructure Inverse;Usability indexing drive;Port Cheese Sleek;Diverse;Digitized pink;false;true
