id;category_name;category_description;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;Rubber;1080p Handmade;groupware Nigeria Optimized;background Functionality;Direct Kansas;false;true
2;hack Plastic;optical Berkshire;neural;Multi-lateral Yemeni;Account;true;false
3;hack Dollar;override;mint Licensed auxiliary;Operative;backing;false;true
4;haptic;indigo parsing;Tasty feed;Associate Guinea-Bissau;array Kids;false;false
5;South discrete Loan;indexing;knowledge Chicken Granite;Meadow Gloves;Cotton;false;true
6;Alabama structure Republic;Circle Internal deposit;connecting monitoring;dedicated;knowledge;false;false
7;Investment payment;Ergonomic;seize;adapter Territory;Card;false;false
8;Square Berkshire Plastic;Account;EXE;Small Garden Mongolia;Home;true;true
9;Sharable Practical salmon;deposit Incredible leading-edge;Handcrafted capability;Illinois;New;false;false
10;Dollar firewall;transmitting override;up;Delaware multi-byte withdrawal;function calculating rich;false;true
