id;refrence_number;total_po_amount;total_gst_amount;expected_delivery_date;po_date;order_type;order_status;terms_and_condition;notes;last_modified;last_modified_by;free_field_1;free_field_2
1;Proactive granular Optional;84575;28823;2022-03-09T19:15:38;2022-03-09T14:43:42;PURCHASE_ORDER;RECEIVED;withdrawal;Kwanza Gloves;salmon Versatile Alley;Shoes RSS;cross-platform Plastic;transmit Pierre
2;digital Human Lake;42851;86516;2022-03-09T08:33:55;2022-03-09T10:15:38;TAX_INVOICE;COMPLETED;green;Savings clear-thinking;Integration;Multi-channelled Shoes Paradigm;RAM;application Granite implementation
3;Gloves Dynamic Fantastic;47048;71680;2022-03-09T18:29:24;2022-03-10T04:05:41;TAX_INVOICE;CANCELED;Forest capacity payment;Cotton Concrete PCI;Pakistan Soft;National integrate bluetooth;orange Salad District;Avon
4;Dollar Cambridgeshire Data;97337;81670;2022-03-09T21:39:48;2022-03-09T19:22:43;PRODUCT_QUATATION;COMPLETED;hierarchy;compelling primary Sausages;transmitting generate copy;Pants;Cheese;port
5;exploit Advanced deposit;79332;30743;2022-03-09T13:47:37;2022-03-10T02:34:32;TAX_INVOICE;RECEIVED;JBOD;Shoes Rupee hacking;Nebraska;Health hack system;Belize;Platinum Engineer salmon
6;redefine Towels Cyprus;22206;7789;2022-03-10T03:32:51;2022-03-10T03:58:42;PRODUCT_QUATATION;RECEIVED;Functionality cyan Viaduct;Fresh Savings Colorado;navigating Right-sized;interactive;microchip black ubiquitous;Communications
7;Computer technologies Keyboard;90443;11176;2022-03-09T09:58:22;2022-03-10T05:26:42;TAX_INVOICE;COMPLETED;Michigan Electronics;facilitate;back-end Intelligent and;viral;solutions wireless Web;payment Wooden Arkansas
8;SMTP Berkshire cross-platform;28892;49280;2022-03-09T09:12:31;2022-03-09T14:17:21;PURCHASE_ORDER;REQUESTED;capacitor Supervisor protocol;Crossing Borders;Usability Direct Unbranded;Account Product Coordinator;Shilling;schemas intuitive Handcrafted
9;management Table;31185;86963;2022-03-09T14:32:06;2022-03-09T13:20:06;PRODUCT_QUATATION;COMPLETED;overriding Towels Texas;withdrawal metrics Chicken;Frozen synergies;Regional Licensed;Towels drive content-based;Toys
10;Account Human Account;45670;63947;2022-03-10T02:26:04;2022-03-09T21:30:49;PRODUCT_QUATATION;COMPLETED;Buckinghamshire purple;multi-byte;uniform Streamlined generation;Pound;Usability Ranch dot-com;driver Administrator Borders
