id;qtyordered;gst_tax_percentage;price_per_unit;total_price;discount;last_modified;last_modified_by;free_field_1;free_field_2
1;46442;38270;90644;84821;31610;programming;Connecticut Toys Market;National;FTP interactive
2;93493;215;10408;20756;66920;Auto withdrawal RSS;backing evolve indexing;Home niches;real-time Branding transmit
3;70959;74007;17653;15342;36185;calculating;Plastic;Programmable;Grocery e-business
4;24324;95457;52916;96861;33830;Market connect;Mouse capacitor open-source;vertical Supervisor;black
5;34076;97404;57907;38648;30372;implement Designer;Virgin;programming implement Agent;reciprocal
6;2908;71079;67953;73112;80907;Shoes vortals;auxiliary;RAM incremental;Kids
7;9484;39005;818;60252;72584;tangible Utah;Stream withdrawal;Lead Computer Fantastic;support array Idaho
8;50719;99840;9358;61293;38020;up Grocery;eco-centric;Avon;Communications Nebraska intangible
9;99758;28522;93163;34378;84080;productize Virtual dynamic;applications incentivize generate;Operations front-end mobile;Course invoice orchestration
10;47252;15449;76665;27410;62603;index;Outdoors program collaborative;zero Swaziland improvement;Dynamic Sleek Future
