id;level;access_id;last_modified;last_modified_by
1;SECTION;74074;Auto Market;Grocery Avon
2;ROOT;26180;Functionality Jersey Buckinghamshire;Tuna
3;SECTION;76374;override state state;moratorium
4;SECTION;22386;system Integrated Bedfordshire;bandwidth
5;ROOT;88903;withdrawal ADP;Loan Village
6;LAB;68242;payment;Account Solutions
7;LAB;26228;Programmable morph Group;cultivate
8;ROOT;43097;Berkshire exploit Rubber;productize
9;ROOT;87371;Account;Persistent International
10;LAB;62729;Parkway Car deposit;Money Gabon
